ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
3284	Changsha		bone	ku²⁴ təu⁰	ku²⁴+təu⁰	k u ²⁴ + t əu ⁰	94 319	bone/骨 _head:SUF/頭	i n t + i n t		骨 頭	
3285	Loudi		bone	ku¹³ diɤ¹³⁻³³	ku¹³+djɤ¹³	k u ¹³ + d j ɤ ¹³	94 319	bone/骨 _head:SUF/頭	i n t + i m n t		骨 頭	
3286	Nanchang		bone	kuʔ⁵ tʰəu⁰	kuʔ⁵+tʰəu⁰	k u ʔ ⁵ + tʰ əu ⁰	94 319	bone/骨 _head:SUF/頭	i n c t + i n t		骨 頭	
3287	Meixian		bone	kut¹ tʰeu¹¹	kut¹+tʰeu¹¹	k u t ¹ + tʰ eu ¹¹	94 319	bone/骨 _head:SUF/頭	i n c t + i n t		骨 頭	
3288	Guilin		bone	ku⁵⁵ tai²²	ku⁵⁵+tai²²	k u ⁵⁵ + t ai ²²	94 319	bone/骨 _head:SUF/頭	i n t + i n t		骨 頭	
3289	Guangzhou		bone	kuɐt⁵	kwɐt⁵	k w ɐ t ⁵	94	bone/骨	i m n c t		骨	
3290	Fuzhou		bone	kɔuʔ²¹*	kɔuʔ²¹	k ɔu ʔ ²¹	94	bone/骨	i n c t		骨	
3291	Fuzhou		bone	kɔuʔ²⁴*⁻²¹* kɔuʔ²⁴*	kɔuʔ²⁴+kɔuʔ²⁴	k ɔu ʔ ²⁴ + k ɔu ʔ ²⁴	94 800	bone/骨 _bone:RED/骨	i n c t + i n c t		骨 骨	
3292	Xiamen		bone	kut³²*⁻⁵ tʰau²⁴	kut³²+tʰau²⁴	k u t ³² + tʰ au ²⁴	94 319	bone/骨 _head:SUF/頭	i n c t + i n t		骨 頭	
3293	Beijing		stick	kuən⁵¹	kwən⁵¹	k w ə n ⁵¹	634	stick/棍	i m n c t		棍	
3294	Ha_erbin		stick	kuən⁵³ tsɿ⁰	kwən⁵³+tsɿ⁰	k w ə n ⁵³ + ts ɿ ⁰	634 19	stick/棍 _-child:SUF/子	i m n c t + i n t		棍 子	
3295	Jinan		stick	kuẽ²¹⁻⁴⁴ tsɿ⁰	kwẽ²¹+tsɿ⁰	k w ẽ ²¹ + ts ɿ ⁰	634 19	stick/棍 _-child:SUF/子	i m n t + i n t		棍 子	
3296	Rongcheng		stick	kuər³³⁴	kwə³³⁴	k w ə ³³⁴	634	stick/棍	i m n t		棍	
3297	Taiyuan		stick	kuŋ⁴⁵	kuŋ⁴⁵	k u ŋ ⁴⁵	634	stick/棍	i n c t		棍	
3298	Taiyuan		stick	kuŋ⁴⁵ tsəʔ⁰	kuŋ⁴⁵+tsəʔ⁰	k u ŋ ⁴⁵ + ts ə ʔ ⁰	634 19	stick/棍 _-child:SUF/子	i n c t + i n c t		棍 子	
3299	Xi_an		stick	kuən⁴⁴	kwən⁴⁴	k w ə n ⁴⁴	634	stick/棍	i m n c t		棍	
3300	Chengdu		stick	kuəm²¹³ kuər⁵⁵	kwəm²¹³+kwə⁵⁵	k w ə m ²¹³ + k w ə ⁵⁵	634 799	stick/棍 stick/棍	i m n c t + i m n t		棍 棍	
3301	Nanjing		stick	kuən⁴⁴ tsɿ⁰	kwən⁴⁴+tsɿ⁰	k w ə n ⁴⁴ + ts ɿ ⁰	634 19	stick/棍 _-child:SUF/子	i m n c t + i n t		棍 子	
3302	Jixi		stick	kuɑ̃³⁵ tsɿ⁵³	kwɑ̃³⁵+tsɿ⁵³	k w ɑ̃ ³⁵ + ts ɿ ⁵³	634 19	stick/棍 _-child:SUF/子	i m n t + i n t		棍 子	
3303	Suzhou		stick	bɑ̃²³¹	bɑ̃²³¹	b ɑ̃ ²³¹	635	stick/棒	i n t		棒	
3304	Suzhou		stick	kuən⁴¹²⁻⁵² tsɿ⁵²⁻²³	kwən⁴¹²+tsɿ⁵²	k w ə n ⁴¹² + ts ɿ ⁵²	634 19	stick/棍 _-child:SUF/子	i m n c t + i n t		棍 子	
3305	Wenzhou		stick	buɔ²⁴⁻⁴² ŋ̍⁰	bwɔ²⁴+ŋ̍⁰	b w ɔ ²⁴ + Ø/ə ŋ̍/ŋ ⁰	635 0	stick/棒 _:SUF/?	i m n t + n c t		棒 儿	
3306	Changsha		stick	kuən⁵⁵ tsɿ⁰	kwən⁵⁵+tsɿ⁰	k w ə n ⁵⁵ + ts ɿ ⁰	634 19	stick/棍 _-child:SUF/子	i m n c t + i n t		棍 子	
3307	Loudi		stick	kun³⁵	kun³⁵	k u n ³⁵	634	stick/棍	i n c t		棍	
3308	Nanchang		stick	kun⁴⁵	kun⁴⁵	k u n ⁴⁵	634	stick/棍	i n c t		棍	
3309	Meixian		stick	kun⁵³⁻⁵⁵ ne⁰	kun⁵³+ne⁰	k u n ⁵³ + n e ⁰	634 0	stick/棍 _stick	i n c t + i n t		棍	
3310	Guilin		stick	kuɤŋ⁴²⁻²⁴ tse²³⁻³³	kwɤŋ⁴²+tse²³	k w ɤ ŋ ⁴² + ts e ²³	634 19	stick/棍 _-child:SUF/子	i m n c t + i n t		棍 子	
3311	Guangzhou		stick	kuɐn³³	kwɐn³³	k w ɐ n ³³	634	stick/棍	i m n c t		棍	
3312	Fuzhou		stick	kuŋ²¹²⁻²¹ kouŋ²¹²	kuŋ²¹²+kouŋ²¹²	k u ŋ ²¹² + k ou ŋ ²¹²	634 634	_stick/棍 stick/棍	i n c t + i n c t		棍 棍	
3313	Xiamen		stick	tsʰe⁵³⁻⁵⁵ ia⁵³	tsʰe⁵³+ja⁵³	tsʰ e ⁵³ + j/Ø a ⁵³	566 797	stick _:SUF/仔	i n t + i n t		捶 仔	
3314	Beijing	Mandarin	child	xɛ³⁵	xɛ³⁵	x ɛ ³⁵	636	child/孩	i n t		孩	
3315	Ha_erbin		child	ɕiau²¹³⁻²¹ xar²⁴	ɕjau²¹³+xa²⁴	ɕ j au ²¹³ + x a ²⁴	49 636	small/小 child/孩	i m n t + i n t		小 孩	
3316	Ha_erbin		child	ɕiau²¹³⁻²¹ kar⁴⁴	ɕjau²¹³+ka⁴⁴	ɕ j au ²¹³ + k a ⁴⁴	49 637	small/小 child/嘎	i m n t + i n t		小 嘎	
3317	Jinan		child	xɛ⁵³⁻⁴⁵ tsɿ⁰	xɛ⁵³+tsɿ⁰	x ɛ ⁵³ + ts ɿ ⁰	636 19	child/孩 _-child:SUF/子	i n t + i n t		孩 子	
3318	Jinan		child	xar⁵³	xa⁵³	x a ⁵³	636	child/孩	i n t		孩	
3319	Rongcheng		child	xai³⁵ tsɿ⁰	xai³⁵+tsɿ⁰	x ai ³⁵ + ts ɿ ⁰	636 19	child/孩 _-child:SUF/子	i n t + i n t		孩 子	
3320	Taiyuan		child	xai²¹	xai²¹	x ai ²¹	636	child/孩	i n t		孩	
3321	Taiyuan		child	xai²¹ tsəʔ⁰	xai²¹+tsəʔ⁰	x ai ²¹ + ts ə ʔ ⁰	636 19	child/孩 _-child:SUF/子	i n t + i n c t		孩 子	
3322	Taiyuan		child	ɕiau⁵³ va²¹ va²¹⁻⁴⁵	ɕjau⁵³+va²¹+va²¹	ɕ j au ⁵³ + v a ²¹ + v a ²¹	49 33 797	small/小 _child/娃 child/娃	i m n t + i n t + i n t		小 娃 娃	
3323	Taiyuan		child	va²¹ va²¹⁻⁴⁵	va²¹+va²¹	v a ²¹ + v a ²¹	33 797	_child/娃 child/娃	i n t + i n t		娃 娃	
3324	Xi_an		child	uɑ⁴⁴	wɑ⁴⁴	w ɑ ⁴⁴	33	child/娃	i n t		娃	
3325	Chengdu		child	ua²¹⁻⁵⁵ ua²¹⁻⁵⁵	wa²¹+wa²¹	w a ²¹ + w a ²¹	33 797	child/娃 娃	i n t + i n t		娃 娃	
3326	Chengdu		child	tsai⁵³⁻⁵⁵ tsai⁵³⁻²¹	tsai⁵³+tsai⁵³	ts ai ⁵³ + ts ai ⁵³	638 798	child/崽 _child:RED/崽	i n t + i n t		崽 崽	
3327	Nanjing		child	uɑ¹³ ər⁰	wɑ¹³+ə⁰	w ɑ ¹³ + ə ⁰	33 796	child/娃 _:SUF/?	i n t + n t		娃 ?	
3328	Nanjing		child	xɛ¹³⁻²¹ tsɿ⁰	xɛ¹³+tsɿ⁰	x ɛ ¹³ + ts ɿ ⁰	636 19	child/孩 _-child:SUF/子	i n t + i n t		孩 子	
3329	Jixi		child	sɿ³⁵⁻³³ iɑ̃⁴⁴ ko⁵³	sɿ³⁵+jɑ̃⁴⁴+ko⁵³	s ɿ ³⁵ + j ɑ̃ ⁴⁴ + k o ⁵³	348 38 42	small/細 _person/人 _family/家	i n t + i n t + i n t		細 人 家	
3330	Suzhou		child	siæ⁵²⁻⁴¹ ȵin¹³⁻²¹	sjæ⁵²+ɲin¹³	s j æ ⁵² + ɲ i n ¹³	49 38	small/小 _person/人	i m n t + i n c t		小 人	
3331	Wenzhou		child	mai⁴⁴⁻³ mai⁴⁴	mai⁴⁴+mai⁴⁴	m ai ⁴⁴ + m ai ⁴⁴	639 795	child/娒 _child:RED/娒	i n t + i n t		娒 娒	
3332	Wenzhou		child	sei⁵¹⁻⁴² ŋ̍⁰	sei⁵¹+ŋ̍⁰	s ei ⁵¹ + ŋ̍/ŋ Ø/ə ⁰	348 833	small/細 _child	i n t + i n t	細儿	細	
3333	Changsha		child	xai¹³ tsɿ⁰	xai¹³+tsɿ⁰	x ai ¹³ + ts ɿ ⁰	636 19	child/孩 _-child:SUF/子	i n t + i n t		孩 子	
3334	Changsha		child	ŋa¹³ sɿ⁵⁵ tsɿ⁰	ŋa¹³+sɿ⁵⁵+tsɿ⁰	ŋ a ¹³ + s ɿ ⁵⁵ + ts ɿ ⁰	640 348 19	_child small/細 _-child:SUF/子	i n t + i n t + i n t		伢 細 子	
3335	Loudi		child	ɕi³⁵ ko⁰ dze⁰	ɕi³⁵+ko⁰+dze⁰	ɕ i ³⁵ + k o ⁰ + dz e ⁰	348 56 638	small/細 -piece:CLS/個 _child	i n t + i n t + i n t		細 個 崽	
3336	Nanchang		child	hai²⁴	hai²⁴	h ai ²⁴	636	child/孩	i n t		孩	
3337	Nanchang		child	ɕi⁴⁵ ŋa⁰ tsɿ⁰	ɕi⁴⁵+ŋa⁰+tsɿ⁰	ɕ i ⁴⁵ + ŋ a ⁰ + ts ɿ ⁰	348 640 19	small/細 _:SUF/? _-child:SUF/子	i n t + i n t + i n t		細 伢 子	
3338	Meixian		child	se⁵³⁻⁵⁵ ŋin¹¹ ne⁰	se⁵³+ŋin¹¹+ne⁰	s e ⁵³ + ŋ i n ¹¹ + n e ⁰	348 38 809	small/細 _person/人 _:SUF/?	i n t + i n c t + i n t		細 人	
3339	Guilin		child	ɕi²⁵ kuo⁰ tse²³⁻³³	ɕi²⁵+kwo⁰+tse²³	ɕ i ²⁵ + k w o ⁰ + ts e ²³	348 56 19	small/細 -piece:CLS/個 _-child:SUF/子	i n t + i m n t + i n t		細 個 子	
3340	Guangzhou		child	hai²¹	hai²¹	h ai ²¹	636	child/孩	i n t		孩	
3341	Fuzhou		child	ha⁵³⁻³³ i⁵³	ha⁵³+i⁵³	h a ⁵³ + i ⁵³	636 807	child/孩 _child/?	i n t + n t		孩 ?	
3342	Fuzhou		child	nie⁵³⁻²¹ iaŋ³²⁻³⁵ ŋo⁵⁵	nje⁵³+jaŋ³²+ŋo⁵⁵	n j e ⁵³ + j a ŋ ³² + ŋ o ⁵⁵	317 632 152	child/伲 child/囝 older.brother/哥	i m n t + i n c t + i n t		伲 囝 哥	
3343	Xiamen		child	in⁵³⁻⁵⁵ na⁵³	in⁵³+na⁵³	i n ⁵³ + n/Ø a ⁵³	632 797	child _:SUF/仔	n c t + i n t		囝 仔	
3344	Beijing		sea	xɛ²¹⁴	xɛ²¹⁴	x ɛ ²¹⁴	641	sea/海	i n t		海	
3345	Ha_erbin		sea	xai²¹³	xai²¹³	x ai ²¹³	641	sea/海	i n t		海	
3346	Jinan		sea	xɛ⁴⁵	xɛ⁴⁵	x ɛ ⁴⁵	641	sea/海	i n t		海	
3347	Rongcheng		sea	xai²¹⁴	xai²¹⁴	x ai ²¹⁴	641	sea/海	i n t		海	
3348	Taiyuan		sea	xai⁵³	xai⁵³	x ai ⁵³	641	sea/海	i n t		海	
3349	Xi_an		sea	xɛ⁵³	xɛ⁵³	x ɛ ⁵³	641	sea/海	i n t		海	
3350	Chengdu		sea	xai⁵³	xai⁵³	x ai ⁵³	641	sea/海	i n t		海	
3351	Nanjing		sea	xɛ¹¹	xɛ¹¹	x ɛ ¹¹	641	sea/海	i n t		海	
3352	Jixi		sea	xa²¹³	xa²¹³	x a ²¹³	641	sea/海	i n t		海	
3353	Suzhou		sea	hᴇ⁵²	he̞⁵²	h e̞ ⁵²	641	sea/海	i n t		海	
3354	Wenzhou		sea	he²⁴	he²⁴	h e ²⁴	641	sea/海	i n t		海	
3355	Changsha		sea	xai⁴¹	xai⁴¹	x ai ⁴¹	641	sea/海	i n t		海	
3356	Loudi		sea	xue⁴²	xwe⁴²	x w e ⁴²	641	sea/海	i m n t		海	
3357	Nanchang		sea	hai²¹³	hai²¹³	h ai ²¹³	641	sea/海	i n t		海	
3358	Meixian		sea	hoi³¹	hoi³¹	h oi ³¹	641	sea/海	i n t		海	
3359	Guilin		sea	xai²³	xai²³	x ai ²³	641	sea/海	i n t		海	
3360	Guangzhou		sea	hɔi³⁵	hɔi³⁵	h ɔi ³⁵	641	sea/海	i n t		海	
3361	Fuzhou		sea	hai³²	hai³²	h ai ³²	641	sea/海	i n t		海	
3362	Xiamen		sea	hai⁵³	hai⁵³	h ai ⁵³	641	sea/海	i n t		海	
3363	Beijing		good	xɑu²¹⁴	xɑu²¹⁴	x ɑu ²¹⁴	642	good/好	i n t		好	
3364	Ha_erbin		good	xau²¹³	xau²¹³	x au ²¹³	642	good/好	i n t		好	
3365	Ha_erbin		good	tai⁵³ tɕiŋ⁵³	tai⁵³+tɕiŋ⁵³	t ai ⁵³ + tɕ i ŋ ⁵³	9 643	bear.carry/帶 good/勁	i n t + i n c t		帶 勁	
3366	Ha_erbin		good	pu⁵³⁻²⁴ lai⁵³	pu⁵³+lai⁵³	p u ⁵³ + l ai ⁵³	98 644	not/不 bad/賴	i n t + i n t		不 賴	
3367	Jinan		good	xɔ⁴⁵	xɔ⁴⁵	x ɔ ⁴⁵	642	good/好	i n t		好	
3368	Rongcheng		good	pu²¹⁴⁻² tsʰau³³⁴⁻³²	pu²¹⁴+tsʰau³³⁴	p u ²¹⁴ + tsʰ au ³³⁴	98 645	not/不 bad/糙	i n t + i n t		不 糙	
3369	Taiyuan		good	xau⁵³	xau⁵³	x au ⁵³	642	good/好	i n t		好	
3370	Xi_an		good	xɑu⁵³	xɑu⁵³	x ɑu ⁵³	642	good/好	i n t		好	
3371	Chengdu		good	xau⁵³	xau⁵³	x au ⁵³	642	good/好	i n t		好	
3372	Nanjing		good	xɔ¹¹	xɔ¹¹	x ɔ ¹¹	642	good/好	i n t		好	
3373	Jixi		good	xɤ²¹³	xɤ²¹³	x ɤ ²¹³	642	good/好	i n t		好	
3374	Suzhou		good	hæ⁵²	hæ⁵²	h æ ⁵²	642	good/好	i n t		好	
3375	Wenzhou		good	hə²⁴	hə²⁴	h ə ²⁴	642	good/好	i n t		好	
3376	Changsha		good	xau⁴¹	xau⁴¹	x au ⁴¹	642	good/好	i n t		好	
3377	Loudi		good	xɤ³⁵	xɤ³⁵	x ɤ ³⁵	642	good/好	i n t		好	
3378	Nanchang		good	hau²¹³	hau²¹³	h au ²¹³	642	good/好	i n t		好	
3379	Meixian		good	hau³¹	hau³¹	h au ³¹	642	good/好	i n t		好	
3380	Guilin		good	xɑu²³	xɑu²³	x ɑu ²³	642	good/好	i n t		好	
3381	Guangzhou		good	hou³⁵	hou³⁵	h ou ³⁵	642	good/好	i n t		好	
3382	Fuzhou		good	ho³²	ho³²	h o ³²	642	good/好	i n t		好	
3383	Xiamen		good	ho⁵³	ho⁵³	h o ⁵³	642	good/好	i n t		好	
3384	Beijing		drink	xɤ⁵⁵	xɤ⁵⁵	x ɤ ⁵⁵	646	drink/喝	i n t		喝	
3385	Ha_erbin		drink	xɤ⁴⁴	xɤ⁴⁴	x ɤ ⁴⁴	646	drink/喝	i n t		喝	
3386	Jinan		drink	xɤ²¹⁴	xɤ²¹⁴	x ɤ ²¹⁴	646	drink/喝	i n t		喝	
3387	Rongcheng		drink	xa²¹⁴	xa²¹⁴	x a ²¹⁴	646	drink/喝	i n t		喝	
3388	Taiyuan		drink	xəʔ²	xəʔ²	x ə ʔ ²	646	drink/喝	i n c t		喝	
3389	Xi_an		drink	xuo²¹	xwo²¹	x w o ²¹	646	drink/喝	i m n t		喝	
3390	Chengdu		drink	xo⁴⁵	xo⁴⁵	x o ⁴⁵	646	drink/喝	i n t		喝	
3391	Nanjing		drink	xoʔ⁵	xoʔ⁵	x o ʔ ⁵	646	drink/喝	i n c t		喝	
3392	Jixi		drink	xɤ⁵⁵	xɤ⁵⁵	x ɤ ⁵⁵	646	drink/喝	i n t		喝	
3393	Suzhou		drink	tɕʰiəʔ⁴	tɕʰjəʔ⁴	tɕʰ j ə ʔ ⁴	549	consume/喫	i m n c t		喫	
3394	Suzhou		drink	haʔ⁴	haʔ⁴	h a ʔ ⁴	647	drink/呷	i n c t		呷	
3395	Wenzhou		drink	ha⁴¹	ha⁴¹	h a ⁴¹	646	drink/喝	i n t		喝	
3396	Changsha		drink	tɕʰia²⁴	tɕʰja²⁴	tɕʰ j a ²⁴	549	consume/喫	i m n t		喫	
3397	Changsha		drink	xo²⁴	xo²⁴	x o ²⁴	646	drink/喝	i n t		喝	
3398	Loudi		drink	tɕʰiɔ¹³	tɕʰjɔ¹³	tɕʰ j ɔ ¹³	549	consume/喫	i m n t		喫	
3399	Nanchang		drink	hot²	hot²	h o t ²	646	drink/喝	i n c t		喝	
3400	Meixian		drink	sət⁵	sət⁵	s ə t ⁵	550	eat/食	i n c t		食	
3401	Guilin		drink	xuo⁵⁵	xwo⁵⁵	x w o ⁵⁵	646	drink/喝	i m n t		喝	
3402	Guangzhou		drink	iɐm³⁵	jɐm³⁵	j ɐ m ³⁵	609	drink/飲	i n c t		飲	
3403	Fuzhou		drink	tsʰuoʔ²⁴*	tsʰwoʔ²⁴	tsʰ w o ʔ ²⁴	648	drink/啜	i m n c t		啜	
3404	Fuzhou		drink	siøʔ⁵	sjøʔ⁵	s j ø ʔ ⁵	550	eat/食	i m n c t		食	
3405	Xiamen		drink	lim⁵⁵	lim⁵⁵	l i m ⁵⁵	649	drink/啉	i n c t		啉	
3406	Beijing	Mandarin	and	xɤ³⁵	xɤ³⁵	x ɤ ³⁵	448	and/和	i n t		和	
3407	Ha_erbin		and	xɤ²¹	xɤ²¹	x ɤ ²¹	448	and/和	i n t		和	
3408	Jinan		and	xɤ⁵³	xɤ⁵³	x ɤ ⁵³	448	and/和	i n t		和	
3409	Rongcheng		and	xɔ³⁵	xɔ³⁵	x ɔ ³⁵	448	and/和	i n t		和	
3410	Taiyuan		and	xɤ²¹	xɤ²¹	x ɤ ²¹	448	and/和	i n t		和	
3411	Xi_an		and	xuo²⁴	xwo²⁴	x w o ²⁴	448	and/和	i m n t		和	
3412	Chengdu		and	xo²¹	xo²¹	x o ²¹	448	and/和	i n t		和	
3413	Nanjing		and	xo¹³	xo¹³	x o ¹³	448	and/和	i n t		和	
3414	Jixi		and	xɵ⁴⁴	xɵ⁴⁴	x ɵ ⁴⁴	448	and/和	i n t		和	
3415	Suzhou		and	taʔ⁴	taʔ⁴	t a ʔ ⁴	223	and/搭	i n c t		搭	
3416	Wenzhou		and	kʰuɔ⁵¹	kʰwɔ⁵¹	kʰ w ɔ ⁵¹	650	and/伉	i m n t		伉	
3417	Changsha		and	kən³³	kən³³	k ə n ³³	651	follow/跟	i n c t		跟	
3418	Loudi		and	ɣo¹³	ɣo¹³	ɣ o ¹³	448	and/和	i n t		和	
3419	Nanchang		and	fo⁴⁵	fo⁴⁵	f o ⁴⁵	448	and/和	i n t		和	
3420	Meixian		and	tʰuŋ¹¹	tʰuŋ¹¹	tʰ u ŋ ¹¹	652	and/同	i n c t		同	
3421	Guilin		and	kɤn⁴²	kɤn⁴²	k ɤ n ⁴²	651	follow/跟	i n c t		跟	
3422	Guangzhou		and	uɔ²¹	wɔ²¹	w ɔ ²¹	448	and/和	i n t		和	
3423	Fuzhou		and	kɔyŋ²⁴²	kɔyŋ²⁴²	k ɔy ŋ ²⁴²	625	give/共	i n c t		共	
3424	Xiamen		and	kaʔ³²*	kaʔ³²	k a ʔ ³²	448	and/和	i n c t		和	
3425	Beijing		river	xɤ³⁵	xɤ³⁵	x ɤ ³⁵	394	river/河	i n t		河	
3426	Ha_erbin		river	xɤ²⁴	xɤ²⁴	x ɤ ²⁴	394	river/河	i n t		河	
3427	Jinan		river	xɤ⁵³	xɤ⁵³	x ɤ ⁵³	394	river/河	i n t		河	
3428	Rongcheng		river	xuɔ³⁵	xwɔ³⁵	x w ɔ ³⁵	394	river/河	i m n t		河	
3429	Taiyuan		river	xɤ²¹	xɤ²¹	x ɤ ²¹	394	river/河	i n t		河	
3430	Xi_an		river	xuo²⁴	xwo²⁴	x w o ²⁴	394	river/河	i m n t		河	
3431	Chengdu		river	xo²¹	xo²¹	x o ²¹	394	river/河	i n t		河	
3432	Nanjing		river	xo¹³	xo¹³	x o ¹³	394	river/河	i n t		河	
3433	Jixi		river	xɵ⁴⁴	xɵ⁴⁴	x ɵ ⁴⁴	394	river/河	i n t		河	
3434	Suzhou		river	ɦəu¹³	ɦəu¹³	ɦ əu ¹³	394	river/河	i n t		河	
3435	Wenzhou		river	vu³⁴¹	vu³⁴¹	v u ³⁴¹	394	river/河	i n t		河	
3436	Changsha		river	xo¹³	xo¹³	x o ¹³	394	river/河	i n t		河	
3437	Loudi		river	ɣo¹³	ɣo¹³	ɣ o ¹³	394	river/河	i n t		河	
3438	Nanchang		river	ho²⁴	ho²⁴	h o ²⁴	394	river/河	i n t		河	
3439	Meixian		river	ho¹¹	ho¹¹	h o ¹¹	394	river/河	i n t		河	
3440	Guilin		river	xuo²²	xwo²²	x w o ²²	394	river/河	i m n t		河	
3441	Guangzhou		river	hɔ²¹	hɔ²¹	h ɔ ²¹	394	river/河	i n t		河	
3442	Fuzhou		river	o⁵³	o⁵³	o ⁵³	394	river/河	n t		河	
3443	Xiamen		river	kʰue⁵⁵	kʰwe⁵⁵	kʰ w e ⁵⁵	394	river/河	i m n t		河	
3444	Beijing		river_2	tɕiɑŋ⁵⁵	tɕjɑŋ⁵⁵	tɕ j ɑ ŋ ⁵⁵	653	river/江	i m n c t		江	
3445	Ha_erbin		river_2	tɕiaŋ⁴⁴	tɕjaŋ⁴⁴	tɕ j a ŋ ⁴⁴	653	river/江	i m n c t		江	
3446	Jinan		river_2	tɕiɑŋ²¹⁴	tɕjɑŋ²¹⁴	tɕ j ɑ ŋ ²¹⁴	653	river/江	i m n c t		江	
3447	Rongcheng		river_2	ciaŋ⁵²	cjaŋ⁵²	c j a ŋ ⁵²	653	river/江	i m n c t		江	
3448	Taiyuan		river_2	tɕɪɒ̃²¹	tɕjɒ̃²¹	tɕ j ɒ̃ ²¹	653	river/江	i m n t		江	
3449	Xi_an		river_2	tɕiɑŋ²¹	tɕjɑŋ²¹	tɕ j ɑ ŋ ²¹	653	river/江	i m n c t		江	
3450	Chengdu		river_2	tɕiaŋ⁴⁵	tɕjaŋ⁴⁵	tɕ j a ŋ ⁴⁵	653	river/江	i m n c t		江	
3451	Nanjing		river_2	tɕiɑ̃³¹	tɕjɑ̃³¹	tɕ j ɑ̃ ³¹	653	river/江	i m n t		江	
3452	Jixi		river_2	kõ⁵⁵	kõ⁵⁵	k õ ⁵⁵	653	river/江	i n t		江	
3453	Suzhou		river_2	kɑ̃⁴⁴	kɑ̃⁴⁴	k ɑ̃ ⁴⁴	653	river/江	i n t		江	
3454	Wenzhou		river_2	kuɔ⁴⁴	kwɔ⁴⁴	k w ɔ ⁴⁴	653	river/江	i m n t		江	
3455	Changsha		river_2	tɕian³³	tɕjan³³	tɕ j a n ³³	653	river/江	i m n c t		江	
3456	Loudi		river_2	tɔŋ⁴⁴	tɔŋ⁴⁴	t ɔ ŋ ⁴⁴	653	river/江	i n c t		江	
3457	Nanchang		river_2	kɔŋ⁴²	kɔŋ⁴²	k ɔ ŋ ⁴²	653	river/江	i n c t		江	
3458	Meixian		river_2	koŋ³³	koŋ³³	k o ŋ ³³	653	river/江	i n c t		江	
3459	Guilin		river_2	tɕiɑŋ⁴²	tɕjɑŋ⁴²	tɕ j ɑ ŋ ⁴²	653	river/江	i m n c t		江	
3460	Guangzhou		river_2	kɔŋ⁵³	kɔŋ⁵³	k ɔ ŋ ⁵³	653	river/江	i n c t		江	
3461	Fuzhou		river_2	k²ɤn⁵⁵	kɤn⁵⁵	k ɤ n ⁵⁵	653	river/江	i n c t		江	
3462	Xiamen		river_2	kaŋ⁵⁵	kaŋ⁵⁵	k a ŋ ⁵⁵	653	river/江	i n c t		江	
3463	Beijing	Mandarin	black	xei⁵⁵	xei⁵⁵	x ei ⁵⁵	296	black/黑	i n t		黑	
3464	Ha_erbin		black	xei⁴⁴	xei⁴⁴	x ei ⁴⁴	296	black/黑	i n t		黑	
3465	Jinan		black	xei²¹⁴	xei²¹⁴	x ei ²¹⁴	296	black/黑	i n t		黑	
3466	Rongcheng		black	xɛ²¹⁴	xɛ²¹⁴	x ɛ ²¹⁴	296	black/黑	i n t		黑	
3467	Taiyuan		black	xəʔ²	xəʔ²	x ə ʔ ²	296	black/黑	i n c t		黑	
3468	Xi_an		black	xei²¹	xei²¹	x ei ²¹	296	black/黑	i n t		黑	
3469	Chengdu		black	xe²¹	xe²¹	x e ²¹	296	black/黑	i n t		黑	
3470	Nanjing		black	xeʔ⁵	xeʔ⁵	x e ʔ ⁵	296	black/黑	i n c t		黑	
3471	Jixi		black	xɤʔ³²*	xɤʔ³²	x ɤ ʔ ³²	296	black/黑	i n c t		黑	
3472	Suzhou		black	həʔ⁴	həʔ⁴	h ə ʔ ⁴	296	black/黑	i n c t		黑	
3473	Wenzhou		black	he⁴¹	he⁴¹	h e ⁴¹	296	black/黑	i n t		黑	
3474	Changsha		black	xə²⁴	xə²⁴	x ə ²⁴	296	black/黑	i n t		黑	
3475	Loudi		black	xe¹³	xe¹³	x e ¹³	296	black/黑	i n t		黑	
3476	Nanchang		black	hɛt⁵	hɛt⁵	h ɛ t ⁵	296	black/黑	i n c t		黑	
3477	Meixian		black	het¹	het¹	h e t ¹	296	black/黑	i n c t		黑	
3478	Guilin		black	xei⁵⁵	xei⁵⁵	x ei ⁵⁵	296	black/黑	i n t		黑	
3479	Guangzhou		black	hɐk³	hɐk³	h ɐ k ³	296	black/黑	i n c t		黑	
3480	Fuzhou		black	u⁵⁵	u⁵⁵	u ⁵⁵	372	dark/烏	n t		烏	
3481	Xiamen		black	ɔ⁵⁵	ɔ⁵⁵	ɔ ⁵⁵	372	dark/烏	n t		烏	
3482	Beijing		red	xuŋ³⁵	xuŋ³⁵	x u ŋ ³⁵	654	red/紅	i n c t		紅	
3483	Ha_erbin		red	xuŋ²⁴	xuŋ²⁴	x u ŋ ²⁴	654	red/紅	i n c t		紅	
3484	Jinan		red	xuŋ⁵³	xuŋ⁵³	x u ŋ ⁵³	654	red/紅	i n c t		紅	
3485	Rongcheng		red	xoŋ³⁵	xoŋ³⁵	x o ŋ ³⁵	654	red/紅	i n c t		紅	
3486	Taiyuan		red	xuŋ²¹	xuŋ²¹	x u ŋ ²¹	654	red/紅	i n c t		紅	
